   id    runId  sec cut_sec N500004 cut_run cut_nPri cut_EvRate cut_nGoodPri cut_ZDCx cut_BBCES cut_NhitsRatio cut_dcaXY cut_dcaXYZ cut_sumpt cut_meanpt cut_tracketa cut_trackphi cut_vz cut_vzVpd cut_nTOF cut_nBEMC cut_N500004
  149 16128062  185       1    1277       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  150 16128064 1891       0   13366       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  151 16128065 1189       0   10661       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  152 16129001 2096       0   12690       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  153 16129002 1917       0   12507       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  154 16129003 1820       0   10583       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  155 16129004 1844       0   11912       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  156 16129005 1848       0   13113       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  157 16129006 1559       0   12232       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  158 16129007 1588       0   11393       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  159 16129008 2039       0   17298       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  160 16129009 1870       0   17801       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  161 16129010 1757       0   17469       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  162 16129011 1810       0   18251       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  163 16129012   39       1     357       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  164 16129013  679       0    6071       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  165 16129014 1342       0    7877       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  166 16129015  133       1     213       1        0          1            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  167 16129016  154       1     745       1        0          0            0        0         0              0         0          0         0          0            0            0      0         1        0         0           1
  168 16129017  192       1    1129       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  169 16129018  162       1     725       1        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           1
  170 16129019  118       1     393       1        0          0            0        0         0              0         0          0         0          0            0            0      0         1        0         0           1
  171 16129022 2021       0    8083       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  172 16129023 1754       0    8583       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  173 16129025 1788       0    9319       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  174 16129029 1784       0   11182       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  175 16129030 1506       0   13297       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  176 16129031 1717       0   15630       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  177 16129032 1849       0   17835       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  178 16129033 1795       0   17335       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  179 16129034 1804       0   15882       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  180 16129035 1804       0   19237       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  181 16129036  957       0   10534       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  182 16129037 1801       0   20292       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  183 16129038 1805       0   14267       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  184 16129039 1653       0   15930       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
  185 16129043 1493       0    7011       0        0          0            0        0         0              0         0          0         0          0            0            0      0         0        0         0           0
